================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=football, v=2, w=0.23789692306635224, v*w=0.4757938461327045
f=People, v=1, w=0.4289135804229491, v*w=0.4289135804229491
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=football., v=1, w=0.23218625038042726, v*w=0.23218625038042726
f=member, v=1, w=0.1449498176701423, v*w=0.1449498176701423
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=player, v=1, w=0.13560647653399346, v*w=0.13560647653399346
f=ofthe, v=1, w=0.12742537112500948, v*w=0.12742537112500948
f=memberof, v=1, w=0.09101672110160655, v*w=0.09101672110160655
f=Peopleplaying, v=1, w=0.0710069587840809, v*w=0.0710069587840809
f=playingfootball, v=1, w=0.059223451390975464, v*w=0.059223451390975464
f=footballplayer, v=1, w=0.034788545709535386, v*w=0.034788545709535386
f=playing, v=1, w=0.0030518931310784337, v*w=0.0030518931310784337
f=tackles, v=1, w=0, v*w=0
f=playertackles, v=1, w=0, v*w=0
f=tacklesan, v=1, w=0, v*w=0
f=anmember, v=1, w=0, v*w=0
f=opposing, v=1, w=-0.004359424247864825, v*w=-0.004359424247864825
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=theopposing, v=1, w=-0.04934393590527033, v*w=-0.04934393590527033
f=Afootball, v=1, w=-0.054276615580810456, v*w=-0.054276615580810456
f=an, v=1, w=-0.06087247582272282, v*w=-0.06087247582272282
f=opposingteam, v=1, w=-0.06142900380589364, v*w=-0.06142900380589364
f=team, v=1, w=-0.1490413285005448, v*w=-0.1490413285005448
f=the, v=1, w=-0.2428361245146822, v*w=-0.2428361245146822
f=team., v=1, w=-0.31136724625001827, v*w=-0.31136724625001827
================================================================================
P: An older gentleman speaking at a podium .
H: A man giving a speech
label=0, predicted=1, wrong
f=speaking, v=1, w=0.23502067333503585, v*w=0.23502067333503585
f=Aman, v=1, w=0.21805720288299957, v*w=0.21805720288299957
f=mangiving, v=1, w=0.2065763053687453, v*w=0.2065763053687453
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=aspeech, v=1, w=0.1308163947690796, v*w=0.1308163947690796
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=An, v=1, w=0.08891465913799289, v*w=0.08891465913799289
f=gentleman, v=1, w=0.058598518264423326, v*w=0.058598518264423326
f=givinga, v=1, w=0.05462564563746671, v*w=0.05462564563746671
f=podium., v=1, w=0.04669969419250784, v*w=0.04669969419250784
f=speech, v=1, w=0.012937222670332017, v*w=0.012937222670332017
f=gentlemanspeaking, v=1, w=0, v*w=0
f=speakingat, v=1, w=0, v*w=0
f=podium, v=1, w=-0.01947364296726438, v*w=-0.01947364296726438
f=at, v=1, w=-0.023579113361532747, v*w=-0.023579113361532747
f=man, v=1, w=-0.03717188463081698, v*w=-0.03717188463081698
f=apodium, v=1, w=-0.05334621243529027, v*w=-0.05334621243529027
f=oldergentleman, v=1, w=-0.07080052050470309, v*w=-0.07080052050470309
f=giving, v=1, w=-0.0872164352082212, v*w=-0.0872164352082212
f=ata, v=1, w=-0.09965907214342017, v*w=-0.09965907214342017
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=Anolder, v=1, w=-0.13999367311387884, v*w=-0.13999367311387884
f=older, v=1, w=-0.16819244954459342, v*w=-0.16819244954459342
================================================================================
P: A topless man with tattoos , black pants , and black boots is standing on a platform in front of a mirror .
H: a man is standing
label=1, predicted=1, correct
f=isstanding, v=2, w=0.26641832553519773, v*w=0.5328366510703955
f=aman, v=1, w=0.3715605349022552, v*w=0.3715605349022552
f=black, v=2, w=0.17527735647504145, v*w=0.3505547129500829
f=boots, v=1, w=0.28125014028971024, v*w=0.28125014028971024
f=platform, v=1, w=0.2316397179742527, v*w=0.2316397179742527
f=pants,, v=1, w=0.2256711591890378, v*w=0.2256711591890378
f=manwith, v=1, w=0.19994505774337457, v*w=0.19994505774337457
f=infront, v=1, w=0.19798494554347312, v*w=0.19798494554347312
f=standing, v=2, w=0.09519191913807996, v*w=0.19038383827615993
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=frontof, v=1, w=0.12611690611735155, v*w=0.12611690611735155
f=,and, v=1, w=0.12042251356907761, v*w=0.12042251356907761
f=pants, v=1, w=0.1142200031080719, v*w=0.1142200031080719
f=blackboots, v=1, w=0.10660735926111098, v*w=0.10660735926111098
f=andblack, v=1, w=0.09792784073939292, v*w=0.09792784073939292
f=,black, v=1, w=0.07150012310063812, v*w=0.07150012310063812
f=ofa, v=1, w=0.06322462541038039, v*w=0.06322462541038039
f=mirror., v=1, w=0.04807094981033439, v*w=0.04807094981033439
f=mirror, v=1, w=0.041733125773683336, v*w=0.041733125773683336
f=ona, v=1, w=0.038194294468584127, v*w=0.038194294468584127
f=manis, v=1, w=0.03602058222876871, v*w=0.03602058222876871
f=bootsis, v=1, w=0.03239221853845198, v*w=0.03239221853845198
